#### #### #### ####
#... .... .... ...#
#... .... .... ...#
#... .... .... ...#

#... .... .... ...#
#... .... .... ...#
#... .... .... ...#
#... .... .... ...#

#... .... .... ...#
#... .... .... ...#
#... .... .... ...#
#... .... .... ...#

#... .... .... ...#
#... .... .... ...#
#... .... .... ...#
#### #### #### ####
8 8 3 2
1 1 1 2
1 e 1 2
e 1 1 2
e e 1 2
; bimgus wars
#### ...# #... ####
#### ...# #... ####
#### ...# #... ####
#### ...# #... ####

#... ...# #... ...#
#... ...# #... ...#
#... ...# #... ...#
#### #### #### ####

#### #### #### ####
.... ...# #... ....
.... ...# #... ....
.... ...# #... ....

#### ...# #... ####
#### ...# #... ####
#### ...# #... ####
#### ...# #... ####
2 5 3 3
e 4 1 3
e 5 1 3
e 6 1 3
; wrap-around
#### #### #### ####
#... .... .... ...#
#.## #.## ##.# ##.#
#.#. #.#. .#.# .#.#

#.## #.## ##.# ##.#
#... .... .... ...#
#.## #.## ##.# ##.#
#.#. #.#. .#.# .#.#

#.#. .... .... .#.#
#.## ..@@ @@.. ##.#
#... .... .... ...#
#.## .... .... ##.#

#... .... .... ...#
#.@@ @@@@ @@@@ @@.#
#... .... .... ...#
#### #### #### ####
1 e 0 3
5 1 2 3
e a 1 2
; breakable walls
.... .... .... ....
.#.. .#.. #..# ..#.
..#. #..# .#.# ..#.
...# ...# .#.# ..#.

...# ...# .#.# ..#.
...# .... #... ##..
.... .... .... ....
.#.# .#.# ##.# ..#.

.#.# .#.. #..# #.#.
.#.# .#.. #..# .##.
.#.# .#.. #..# ..#.
..#. #..# ##.# ..#.

.... .... .... ....
#... .... .... ...#
#... .... .... ...#
#### #### #### ####
3 d 3 1
c d 1 0
; YOU WIN
